job_title,comp_name,comp_type,comp_size,region,city,contract,exper,gender,positions,salary
سائق سيارة,جمعية حماية الاسرة الخيرية,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,1,4500.0
مهندس ميكانيكي,مؤسسة بلدان للمقاولات,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,F,2,5500.0
عامل كاونتر مأكولات ومشروبات,مقهى تفاني لتقديم المشروبات,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,0,F,2,4000.0
فني تدفئة وتهوية وتكييف,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,M,1,5700.0
موظف صندوق محاسبة,مركز اللياقة الحقيقية الرياضي,خاص,صغيرة فئة ب,المنطقة الشرقية,DHAHRAN...,دوام كامل,2,M,1,4434.0
فني أجهزة دقيقة,مؤسسة القمة السمعية التجارية,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,2,both,1,4000.0
أخصائي مبيعات,شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,متوسطة فئة أ,المنطقة الشرقية,AL MUBARR...,دوام كامل,2,M,1,4000.0
محاسب,شركة جنان العقاريه,خاص,صغيرة فئة ب,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,M,1,6000.0
محاسب,مؤسسة الأندلس للشقق الفندقية,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,2,both,1,6000.0
فني مختبر طبي,مجمع شفاء طيبة الطبي,خاص,متوسطة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,0,F,1,4000.0
مدير تقنية معلومات,شركة التربه والاساسات المحدوده شركة شخص واحد,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,4,M,1,10000.0
رئيس منظمة غير ربحية,جمعية يسر للتنمية الأسرية,خاص,صغيرة فئة أ,مكة المكرمة,MAKKAH AL...,دوام كامل,4,F,1,6000.0
محاسب,خالد آرت للصناعة,خاص,صغيرة فئة ب,المنطقة الشرقية,AD DAMMAM...,دوام كامل,2,F,1,6000.0
مدرس لغة أجنبية,المعهد العالي السعودي الياباني للسيارات,خاص,متوسطة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,M,2,5000.0
موظف استقبال,مركز راحت العضلة للمساج,خاص,صغيرة فئة ب,القصيم,AL BADAI'...,دوام كامل,0,both,1,4000.0
أخصائي تسويق,شركة أسيس يور للمحاماة والاستشارات القانونية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,4,M,1,4000.0
طبيب أسنان عام,مجمع الخريف الطبي,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,F,1,8000.0
مدير عام,مؤسسة ألفا جروب للتجارة,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,both,1,10000.0
أخصائي تسويق,شركة مركز العام الفني والسلامة للتدريب,خاص,صغيرة فئة ب,المنطقة الشرقية,AD DAMMAM...,دوام كامل,2,F,1,6500.0
موظف صندوق محاسبة,مؤسسة حفلة الألعاب التجارية,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,4,5000.0
سائق سيارة,شركه العرفج للتجاره والاستيراد,خاص,متوسطة فئة ج,الرياض,AR RIYADH...,دوام كامل,2,M,3,4000.0
مندوب مبيعات,شركه العرفج للتجاره والاستيراد,خاص,متوسطة فئة ج,الرياض,AR RIYADH...,دوام كامل,0,F,3,4000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,0,M,50,6000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,0,F,50,6000.0
أخصائي مبيعات,توكيلات عبدالله جارالله للتجارة والاستيراد,خاص,صغيرة فئة ب,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,M,1,4000.0
أخصائي مبيعات,توكيلات عبدالله جارالله للتجارة والاستيراد,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,M,1,4000.0
أخصائي مبيعات,توكيلات عبدالله جارالله للتجارة والاستيراد,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,M,2,4000.0
بائع,مؤسسة الخليج العربي لقطع الغيار,خاص,صغيرة فئة ب,الباحة,SHIBRIQAH...,دوام كامل,0,M,1,4000.0
مدير علاقات الأفراد,شركة المطار العربي للخدمات التجارية شركة شخص واحد,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,4,both,1,13889.0
بائع,مؤسسة مهدي بن ناشي بن سفران الحجيلي التجارية,خاص,صغيرة فئة ب,المدينة المنورة,AL MADINA...,دوام كامل,0,M,2,4000.0
مدخل بيانات,شركة المطار العربي للخدمات التجارية شركة شخص واحد,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,M,4,4444.0
مدخل بيانات,شركة المطار العربي للخدمات التجارية شركة شخص واحد,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,4,4800.0
محاسب,جمعية ريادة لبناء وتطوير القدرات الشبابية,خاص,صغيرة فئة أ,مكة المكرمة,MAKKAH AL...,دوام كامل,2,both,1,4000.0
مساعد معلم,شركة اكسيل انترناشيونال انك السعودية للتعليم شركة شخص واحد,خاص,متوسطة فئة ب,المنطقة الشرقية,DHAHRAN...,دوام كامل,2,F,10,5000.0
موظف استقبال,مشغل زاوية أطياف للتزيين النسائي,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,F,1,4000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,مكة المكرمة,MAKKAH AL...,دوام كامل,0,both,50,6000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,القصيم,BURAYDAH...,دوام كامل,0,M,50,6000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,المدينة المنورة,AL ULA...,دوام كامل,0,both,20,6000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,نجران,NAJRAN...,دوام كامل,0,both,50,6000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,حائل,HAIL...,دوام كامل,0,both,50,6000.0
سائق سيارة,مؤسسة ابراهيم يوسف ابراهيم كويتي للنقل,خاص,صغيرة فئة أ,مكة المكرمة,AT TAIF...,دوام كامل,0,both,50,6000.0
فني أشعة,مجمع القاضي الطبي فرع شركة مجموعة القاضي للاستثمار والتطوير,خاص,متوسطة فئة أ,نجران,NAJRAN...,دوام كامل,0,F,1,5000.0
أخصائي تقنية إشعاعية,مجمع القاضي الطبي فرع شركة مجموعة القاضي للاستثمار والتطوير,خاص,متوسطة فئة أ,نجران,NAJRAN...,دوام كامل,0,F,1,7000.0
فني مختبر طبي,مجمع القاضي الطبي فرع شركة مجموعة القاضي للاستثمار والتطوير,خاص,متوسطة فئة أ,نجران,NAJRAN...,دوام كامل,0,F,2,5000.0
مشرف صحة وسلامة مهنية,شركة الراجح الحديثة للمقاولات المحدودة,خاص,متوسطة فئة ج,المدينة المنورة,AL MADINA...,دوام كامل,2,M,1,4000.0
أمين صندوق,شركة الراجح الحديثة للمقاولات المحدودة,خاص,متوسطة فئة ج,مكة المكرمة,JEDDAH...,دوام كامل,2,M,1,4000.0
مندوب مبيعات,شركة المطهرات الخليجية المحدودة شركة شخص واحد,خاص,صغيرة فئة ب,الرياض,ABA ASLAB...,دوام كامل,2,both,1,4000.0
أخصائي تسويق,مؤسسة علاء محمد علوي خرد للتطوير العقاري,خاص,صغيرة فئة أ,مكة المكرمة,MAKKAH AL...,دوام كامل,0,F,1,4000.0
محاسب,شركة التقنية الحديثة لصيانة الالكترونيات,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,2,both,1,5000.0
مساعد طبيب أسنان,مجمع عنايه المتخصص لطب الاسنان,خاص,صغيرة فئة ب,المدينة المنورة,AL MADINA...,دوام كامل,0,F,2,4500.0
موظف استقبال,شركة إكال لتقديم الوجبات,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,F,1,5000.0
محاسب,شركة بوان للصناعات المعدنية   شركـة شـخـص واحـد,خاص,متوسطة فئة ج,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,M,1,4500.0
سائق شاحنة ثقيلة,شركة ماجد مرشد مريشيد الحربي للمقاولات,خاص,متوسطة فئة أ,المدينة المنورة,YANBU...,دوام كامل,2,M,5,4500.0
مساعد إداري,شركة ماجد مرشد مريشيد الحربي للمقاولات,خاص,متوسطة فئة أ,المدينة المنورة,YANBU...,دوام كامل,0,F,1,4000.0
أخصائي عمليات موارد بشرية,شركة إعتماد للموارد البشرية شركة شخص واحد,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,F,1,4000.0
أخصائي تسويق,شركة إعتماد للموارد البشرية شركة شخص واحد,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,F,1,4000.0
مدير توظيف,شركة إعتماد للموارد البشرية شركة شخص واحد,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,F,1,4000.0
مندوب مبيعات,مؤسسة صالح عبدالله الجهني للتجارة,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,M,2,4000.0
محاسب,مؤسسة نخبة حبيبه للحلويات,خاص,صغيرة فئة ب,الجوف,TUBARJAL...,دوام كامل,0,both,1,4000.0
أخصائي مختبرات طبية,مجمع المسعودي الاول,خاص,صغيرة فئة ب,الرياض,UMM TALHA...,دوام كامل,0,F,2,5000.0
سكرتير تنفيذي,شركةاحمدعبدالرحمن النويصر,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,M,1,4000.0
سكرتير,مجمع المسعودي الاول,خاص,صغيرة فئة ب,الرياض,UMM TALHA...,دوام كامل,0,F,1,4000.0
أخصائي مبيعات,شركة حسين عبدالرحمن السماعيل للصناعة,خاص,صغيرة فئة ب,المنطقة الشرقية,AD DAMMAM...,دوام كامل,2,both,3,5625.0
سائق حافلة,مؤسسة عبدالله علي محسن حدادي للخدمات اللوجستية,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,M,10,9200.0
محاسب,مؤسسة شريان حائل للمقاولات العامة,خاص,صغيرة فئة ب,حائل,HAIL...,دوام كامل,4,both,2,3000.0
أخصائي عمليات موارد بشرية,مؤسسة سوزان محمد علي القيسي للمقاولات العامة,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,4,F,1,4000.0
صيدلي,فرع شركة زد ام سي للتجارة,خاص,متوسطة فئة ب,مكة المكرمة,AL QUNFID...,دوام كامل,0,M,4,5000.0
فني تمريض,فرع شركة زد ام سي للتجارة,خاص,متوسطة فئة ب,مكة المكرمة,AL QUNFID...,دوام كامل,0,F,5,4000.0
معلم ابتدائي لغة أجنبية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,7,5600.0
معلم ابتدائي تربية فنية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,6,5600.0
معلم مرحلة متوسطة لغة عربية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,5,5600.0
مدرس لغة أجنبية,مدارس اضواء الهدايه للبنين والبنات الاهلية,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,6,5600.0
بائع,مؤسسة بسمه سعد الغامدي لتجارة الجملة و التجزئة,خاص,صغيرة فئة ب,الباحة,BILJURASH...,دوام كامل,0,M,1,4000.0
بائع,مؤسسة تصميم الخزامى التجارية,خاص,صغيرة فئة ب,الرياض,HAWTAT BA...,دوام كامل,0,M,1,4000.0
مشرف تنظيف وتدبير,شركة أبراج العاليات للمقاولات,خاص,متوسطة فئة ب,جازان,ABU AS SA...,دوام كامل,2,M,1,4500.0
مشرف صحة وسلامة مهنية,شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,عملاقة,الرياض,AR RIYADH...,دوام كامل,0,M,5,5500.0
سائق شاحنة صغيرة,شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,عملاقة,الرياض,AR RIYADH...,دوام كامل,0,M,10,4800.0
أخصائي تسويق,اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,خاص,صغيرة فئة ب,الباحة,AL BAHA...,دوام كامل,0,both,1,8803.0
فني ميكانيكي محركات,مؤسسة جازي  للمقاولات,خاص,صغيرة فئة ب,المدينة المنورة,AL MADINA...,دوام كامل,0,M,1,4000.0
أخصائي عمليات موارد بشرية,اللجنة الوطنية لرعاية السجناءوالمفرج عنهم  بالباحة,خاص,صغيرة فئة ب,الباحة,AL BAHA...,دوام كامل,0,both,1,8803.0
فني كهربائي أنظمة حماية كهربائية,مؤسسة جازي  للمقاولات,خاص,صغيرة فئة ب,المدينة المنورة,AL MADINA...,دوام كامل,2,M,1,4000.0
مساعد صحي,مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,خاص,متوسطة فئة ب,مكة المكرمة,MAKKAH AL...,دوام كامل,0,F,3,4000.0
أخصائي مختبرات طبية,مجمع إيلاف الطبي,خاص,صغيرة فئة ب,مكة المكرمة,AL WATAH...,دوام كامل,0,F,2,7000.0
أخصائي مختبرات طبية,شركة العناية والرعاية الطبية شركة شخص واحد,خاص,صغيرة فئة أ,الجوف,AL QURAYY...,دوام كامل,0,F,1,5000.0
فني هندسة إلكترونية,شركة أمن وسلامه للمقاولات,خاص,صغيرة فئة ب,الرياض,ABA ASLAB...,دوام كامل,0,both,1,4000.0
أخصائي مبيعات,محل فوق المتوقع للهدايا,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,F,2,4000.0
بائع مأكولات ومشروبات,شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,خاص,متوسطة فئة أ,مكة المكرمة,MAKKAH AL...,دوام كامل,0,both,10,4000.0
محاسب,شركة العهد الجديد للتجارة والتسويق,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,عمل عن بعد,2,F,1,4000.0
مندوب مبيعات,شركة العهد الجديد للتجارة والتسويق,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,both,2,6000.0
طبيب أسنان عام,شركة العاج الطبية,خاص,صغيرة فئة ب,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,both,2,7000.0
محاسب تكاليف,ورشة حسن علي آل ربح للحدادة والالمنيوم,خاص,صغيرة فئة ب,المنطقة الشرقية,AL QATIF...,دوام كامل,0,both,3,4000.0
موظف استقبال,مركز أقوي عضلة الرياضي,خاص,صغيرة فئة ب,القصيم,AL BADAI'...,دوام كامل,0,M,1,4000.0
مراقب مالي,شركةازياء التجزئة التجارية,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,0,M,1,8000.0
قهوجي,مقهى الكرز بلوم لتقديم المشروبات,خاص,صغيرة فئة ب,المدينة المنورة,ABA AL BA...,دوام كامل,2,M,1,4000.0
بائع,مؤسسة قمة الهرم التجارية,خاص,صغيرة فئة ب,مكة المكرمة,AL QUNFID...,دوام كامل,4,both,4,4000.0
محاسب,فر مؤسسة غربي عبدالله محمد الشدادي للمقاولات العامة فرع تأجي,خاص,صغيرة فئة ب,مكة المكرمة,AL QUNFID...,دوام كامل,2,F,3,4500.0
حارس أمن,مركز الغربي للمفروشات الراقية,خاص,صغيرة فئة ب,مكة المكرمة,AL QUNFID...,دوام كامل,4,M,3,4000.0
مشرف عقار,مؤسسه غربي عبدالله محمد الشدادي للمقاولات العامه,خاص,صغيرة فئة ب,مكة المكرمة,AL QUNFID...,دوام كامل,4,M,3,4000.0
فني صيانة ميكانيكية,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,المنطقة الشرقية,AL QATIF...,دوام كامل,0,M,1,5700.0
ميكانيكي مصاعد,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,المنطقة الشرقية,AL QATIF...,دوام كامل,2,M,1,5700.0
فني كهربائي أنظمة حماية كهربائية,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,المنطقة الشرقية,AL QATIF...,دوام كامل,0,M,1,5700.0
فني كهربائي أنظمة حماية كهربائية,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,مكة المكرمة,MAKKAH AL...,دوام كامل,0,M,1,5700.0
مهندس زراعي,شركة الحبيب للتجارة والتعهدات التجارية المحدودة,خاص,عملاقة,مكة المكرمة,MAKKAH AL...,دوام كامل,2,M,1,8400.0
أمين مكتبة,شركه التقوى للتربيه والتعليم والتدريب المحدوده,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,M,3,5000.0
محضر أطعمة باردة,مطعم مذاق الشرفة لتقديم الوجبات,خاص,متوسطة فئة ب,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,both,5,5000.0
طاهي,مطعم مذاق الشرفة لتقديم الوجبات,خاص,متوسطة فئة ب,المنطقة الشرقية,AL KHUBAR...,دوام كامل,2,both,5,6000.0
موظف صندوق محاسبة,مطعم مذاق الشرفة لتقديم الوجبات,خاص,متوسطة فئة ب,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,both,5,5000.0
عامل كاونتر مأكولات ومشروبات,مطعم مذاق الشرفة لتقديم الوجبات,خاص,متوسطة فئة ب,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,both,3,5000.0
معلم رياض أطفال,الشركة العالمية لتطوير المهارات,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,4,F,5,4500.0
معلم صعوبات التعلم,شركة ابناء المجد الاهليه,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,M,3,4000.0
أخصائي تسويق,مؤسسة البرمجة الرائدة لخدمات الاتصالات,خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,F,2,4000.0
بائع,محل بيت العائلة للاواني المنزلية,خاص,صغيرة فئة أ,جازان,AL 'AYDAB...,دوام كامل,0,M,1,3200.0
محاسب,نادي الحجاز الرياضي ببلجرشي,خاص,صغيرة فئة أ,الباحة,BILJURASH...,دوام كامل,0,F,1,4000.0
أخصائي سمعيات,مجمع شفاء طيبة الطبي,خاص,متوسطة فئة أ,المدينة المنورة,AL MADINA...,دوام كامل,0,F,1,4000.0
موظف استقبال,مجمع الطبيب زاهر قضيب البنان رقم واحد الطبي العام,خاص,متوسطة فئة ب,مكة المكرمة,MAKKAH AL...,دوام كامل,0,F,2,4000.0
مندوب مبيعات,مؤسسة لوبا المتطورة التجارية,خاص,متوسطة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,2,M,2,4000.0
أخصائي تسويق,مؤسسة السابع و الثلاثون لتنظيم المعارض والمؤتمرات,خاص,صغيرة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,both,1,5000.0
أخصائي مبيعات,شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,متوسطة فئة أ,المنطقة الشرقية,AL MUBARR...,دوام كامل,0,M,1,6000.0
أخصائي خدمة عملاء,شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,متوسطة فئة أ,المنطقة الشرقية,AL KHUBAR...,دوام كامل,2,F,2,6000.0
فني كهربائي تمديدات كهربائية,شركة الساعد الدولية المحدودة,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,M,1,5700.0
مهندس مدني,شركة الساعد الدولية المحدودة,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,F,1,10000.0
مدير مطعم,مؤسسة قدور نجد لخدمات الاعاشة,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,2,8000.0
أخصائي مبيعات,شركة عالم المحركات للتجارة (شركة شخص واحد),خاص,متوسطة فئة أ,المنطقة الشرقية,AL KHUBAR...,دوام كامل,0,M,2,6000.0
سكرتير,مركز إجادة السلامة للتدريب,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,M,1,6000.0
موظف استقبال,مؤسسة تصاميم المستقبل للديكور,خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,F,1,3500.0
سكرتير,شركة عراقة للتقييم العقاري شركة شخص واحد,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,1,6000.0
أخصائي تسويق,شركة ذات الهمة التجارية (شركة شخص واحد),خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,2,F,1,4500.0
بائع,مؤسسة الفا بيتا لتقنية المعلومات,خاص,صغيرة فئة أ,المنطقة الشرقية,AL QATIF...,دوام كامل,0,M,1,4000.0
مدير مقهى,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,متوسطة فئة ب,القصيم,BURAYDAH...,دوام كامل,4,both,2,6000.0
مشرف إنتاج,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,4,both,20,6000.0
قهوجي,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,50,5093.0
أخصائي مستودعات,مؤسسة رؤية المتقدمة للتجارة,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,M,1,5000.0
مدير مقهى,شركة الجرعة المفرطة للتجارة شركة شخص واحد,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,4,both,20,7000.0
مهندس معماري,شركة مشراف المدائن للمقاولات,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,3,7000.0
مهندس سلامة وصحة مهنية,شركة مشراف المدائن للمقاولات,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,M,3,7000.0
أخصائي تسويق,مؤسسة طيبات الجزيرة للحوم,خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,F,3,4000.0
أمين صندوق,مؤسسة طيبات الجزيرة للحوم,خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,0,F,2,4000.0
مندوب مبيعات,مصنع جيني للعطور ومستحضرات التجميل,خاص,متوسطة فئة ب,الرياض,ABA ASLAB...,دوام كامل,0,F,3,4000.0
أخصائي مشتريات,شركة مصنع دار النعايم للصناعات الغذائية,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,M,2,5800.0
مندوب مبيعات,مصنع جيني للعطور ومستحضرات التجميل,خاص,متوسطة فئة ب,الرياض,ABA ASLAB...,دوام كامل,0,M,1,5000.0
مشرف عقار,مؤسسة البطان للمقاولات العامة,خاص,متوسطة فئة أ,مكة المكرمة,AL LITH...,دوام كامل,7,M,5,4000.0
قائد مدرسة,شركة مدارس الرواد العالمية,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,4,F,1,9000.0
أخصائي نفسي,مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,خاص,متوسطة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,both,5,4000.0
أخصائي نفسي,مركز مطمئنه الطبي فرع شركه نخبة الاستشاريين الطبي,خاص,متوسطة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,both,5,4000.0
نجّار,شركة الجزيره للتجاره والتصنيع المحدوده,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,2,M,2,4000.0
مليّس,شركة الجزيره للتجاره والتصنيع المحدوده,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,2,M,1,5000.0
موظف صندوق محاسبة,مؤسسة الرجل أنيق التجارية,خاص,صغيرة فئة أ,مكة المكرمة,AL QUNFID...,دوام كامل,7,M,3,4000.0
حارس أمن,مؤسسة الرجل أنيق التجارية,خاص,صغيرة فئة أ,مكة المكرمة,AL QUNFID...,دوام كامل,10,M,3,4000.0
أخصائي صحة وسلامة مهنية,الشركة العربية للاستثمارات  الزراعيه والحيوانيه,خاص,متوسطة فئة أ,الرياض,AL KHARJ...,دوام كامل,0,M,2,5625.0
محاسب,شركة رسو الشرق التجارية,خاص,صغيرة فئة ب,المنطقة الشرقية,AD DAMMAM...,دوام كامل,2,M,1,6000.0
مشرف صيانة,شركة الراجح الحديثة للمقاولات المحدودة,خاص,متوسطة فئة ج,المدينة المنورة,AL MADINA...,دوام كامل,2,both,1,6000.0
مساعد صحي,مستشفى دله فرع شركة دله للخدمات الصحيه,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,0,both,5,5000.0
بائع ساعات,شركة ركن الثواني التجارية,خاص,صغيرة فئة ب,الرياض,ABA ASLAB...,دوام كامل,0,M,10,4000.0
مساعد إداري,مؤسسة بيتكم لتقنية المعلومات,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,1,5000.0
فني تنقية مجاري صرف صحي,شركة صالح حسين سالم ال سلامه وشريكه,خاص,عملاقة,الرياض,ABA ASLAB...,دوام كامل,0,both,1,5000.0
فني ميكانيكي محركات,شركة صالح حسين سالم ال سلامه وشريكه,خاص,عملاقة,الرياض,ABA ASLAB...,دوام كامل,0,both,1,5000.0
فني صيانة أجهزة إلكترونية,شركة صالح حسين سالم ال سلامه وشريكه,خاص,عملاقة,الرياض,ABA ASLAB...,دوام كامل,0,both,1,5000.0
أخصائي إعلامي,المعهد العالي السعودي الياباني للسيارات,خاص,متوسطة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,M,1,5000.0
محاسب,شركة نجد للمقاولات شركة شخص واحد,خاص,متوسطة فئة أ,حائل,HAIL...,دوام كامل,0,M,1,6000.0
معد وجبات سريعة,مطعـم الوجوه الاربعه لتقديم الوجبات,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,0,M,1,5200.0
مهندس كهربائي,مكتب الإبداع الحديث للاستشارات الهندسية,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,10,both,1,8000.0
مهندس مدني,شركة حمزة محمد الديري للمقاولات,خاص,متوسطة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,2,M,2,7000.0
أخصائي مبيعات,مكتب سيجما الكفاءات للاستقدام,خاص,صغيرة فئة أ,مكة المكرمة,JEDDAH...,دوام كامل,0,F,2,4000.0
مهندس كهربائي,شركة الهضب للتجارة والمقاولات,خاص,متوسطة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,2,M,2,8500.0
فني علوم أغذية,شركة سنا المدينة للتمور,خاص,صغيرة فئة ب,المدينة المنورة,AL MADINA...,دوام كامل,2,both,1,4000.0
منسق زهور,شركة ذات الهمة التجارية (شركة شخص واحد),خاص,صغيرة فئة أ,المنطقة الشرقية,AD DAMMAM...,دوام كامل,2,F,1,4500.0
مندوب مبيعات,شركة عيون الدار للصناعة شركة شخص واحد,خاص,صغيرة فئة ب,الرياض,AR RIYADH...,دوام كامل,2,both,1,4000.0
نادل,مطعم استراحة البساتين لتقديم الوجبات,خاص,صغيرة فئة ب,جازان,SABYA...,دوام كامل,0,F,3,3600.0
