job_title,comp_name,comp_type,comp_size,region,city,contract,exper,gender,positions,salary
طبيب عام,مركز ياسمين محمد حسين الرويلي للعلاج الطبيعي,خاص,صغيرة فئة أ,الحدود الشمالية,TURAIF...,دوام كامل,0,both,1,6000.0
بائع,مؤسسة فاطمه سعيد صالح خلف للقرطاسية,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,2,both,1,4000.0
طبيب نفسي,شركة أمان للامراض النفسية والعصبية,خاص,صغيرة فئة ب,مكة المكرمة,JEDDAH...,دوام كامل,0,both,2,10000.0
موظف استقبال,شركة الاسنان الجميلة الطبي,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,F,2,4500.0
مدير مكتب,مكتب محمد طه عبدالقادر السقاف للاستشارات الهندسية,خاص,صغيرة فئة ب,مكة المكرمة,MAKKAH AL...,دوام كامل,12,both,1,15000.0
أخصائي علاقات عامة,شركة سما الشرق المحدودة,خاص,متوسطة فئة ج,الرياض,AR RIYADH...,دوام كامل,2,both,1,4500.0
أخصائي مختبرات طبية,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,4,both,2,7000.0
فني أشعة,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,F,1,5000.0
فني مختبر طبي,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,both,2,5000.0
فني شبكات تقنية معلومات,شركة التربه والاساسات المحدوده شركة شخص واحد,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,2,M,2,5500.0
فني علاج طبيعي,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,2,F,1,5000.0
محضر أطعمة باردة,بوفية محمدحسن احمد جبر لتقديم الوجبات,خاص,صغيرة فئة ب,مكة المكرمة,MAKKAH AL...,دوام كامل,0,M,1,4000.0
بائع,مطعم البرجر النقي لتقديم الوجبات,خاص,متوسطة فئة أ,الرياض,AR RIYADH...,دوام كامل,0,both,20,4500.0
منسق منتجات,شركة الترويج المتطوره لخدمات الاعمال المحدوده,خاص,كبيرة,الرياض,AR RIYADH...,دوام كامل,0,both,10,4000.0
أخصائي صحة عامة,مجمع بيان الساحل لطب وتقويم الاسنان,خاص,صغيرة فئة ب,مكة المكرمة,AL QUNFID...,دوام كامل,0,F,1,4000.0
